# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.125081907957792282e-02 1.201657298952341080e-02 1.017112955451011658e-01 6.037757396697998047e-01 1.061168313026428223e-01 4.857622981071472168e-01 1.125081907957792282e-02 1.201657298952341080e-02 1.017112955451011658e-01 6.037757396697998047e-01 1.061168313026428223e-01 4.857622981071472168e-01
0.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00
5.000000000000000000e+02 7.331420481204986572e-02 6.492604315280914307e-02 1.446551643311977386e-03 4.635839723050594330e-04 9.539060294628143311e-02 4.378902167081832886e-02 6.911026686429977417e-02 6.212555989623069763e-02 1.446551643311977386e-03 4.635839723050594330e-04 9.539060294628143311e-02 4.378902167081832886e-02
1.000000000000000000e+03 6.328970193862915039e-02 6.365336477756500244e-02 2.875850535929203033e-03 1.928146695718169212e-03 5.525673925876617432e-02 2.856722846627235413e-02 5.889599770307540894e-02 5.758025124669075012e-02 2.875850535929203033e-03 1.928146695718169212e-03 5.525673925876617432e-02 2.856722846627235413e-02
1.500000000000000000e+03 5.326348915696144104e-02 5.460778251290321350e-02 3.035380272194743156e-03 3.019406460225582123e-03 3.860454633831977844e-02 2.161830104887485504e-02 5.106959491968154907e-02 5.559295043349266052e-02 3.035380272194743156e-03 3.019406460225582123e-03 3.860454633831977844e-02 2.161830104887485504e-02
2.000000000000000000e+03 4.637823253870010376e-02 5.014326050877571106e-02 5.412728991359472275e-03 4.530807957053184509e-03 3.097877278923988342e-02 1.769335195422172546e-02 4.769217595458030701e-02 4.877745360136032104e-02 5.412728991359472275e-03 4.530807957053184509e-03 3.097877278923988342e-02 1.769335195422172546e-02
2.500000000000000000e+03 4.673291370272636414e-02 4.795257002115249634e-02 7.514684926718473434e-03 5.958398804068565369e-03 2.536118589341640472e-02 1.506113447248935699e-02 4.465064033865928650e-02 4.533506557345390320e-02 7.514684926718473434e-03 5.958398804068565369e-03 2.536118589341640472e-02 1.506113447248935699e-02
3.000000000000000000e+03 4.047438129782676697e-02 4.655598476529121399e-02 5.924833007156848907e-03 5.342255346477031708e-03 2.162092179059982300e-02 1.341852173209190369e-02 3.835473954677581787e-02 4.571710526943206787e-02 5.924833007156848907e-03 5.342255346477031708e-03 2.162092179059982300e-02 1.341852173209190369e-02
3.500000000000000000e+03 4.208906739950180054e-02 4.391366615891456604e-02 1.023508794605731964e-02 6.235725712031126022e-03 2.147078886628150940e-02 1.230471115559339523e-02 3.945301473140716553e-02 4.064982756972312927e-02 1.023508794605731964e-02 6.235725712031126022e-03 2.147078886628150940e-02 1.230471115559339523e-02
4.000000000000000000e+03 4.031006991863250732e-02 4.152583703398704529e-02 6.407719105482101440e-03 7.593776565045118332e-03 1.741771958768367767e-02 1.255710143595933914e-02 3.897199779748916626e-02 3.988840058445930481e-02 6.407719105482101440e-03 7.593776565045118332e-03 1.741771958768367767e-02 1.255710143595933914e-02
4.500000000000000000e+03 4.254659637808799744e-02 4.234042018651962280e-02 6.650535389780998230e-03 6.107000168412923813e-03 1.580809429287910461e-02 1.124875154346227646e-02 3.896222263574600220e-02 3.774315118789672852e-02 6.650535389780998230e-03 6.107000168412923813e-03 1.580809429287910461e-02 1.124875154346227646e-02
5.000000000000000000e+03 3.392652049660682678e-02 4.017719998955726624e-02 9.025764651596546173e-03 7.039893884211778641e-03 1.619496382772922516e-02 1.103741768747568130e-02 3.395036235451698303e-02 4.159684851765632629e-02 9.025764651596546173e-03 7.039893884211778641e-03 1.619496382772922516e-02 1.103741768747568130e-02
